,Şəhər,Qiymət,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb,Sahiblər,Qəzalı
0,Bakı,33 000 AZN,Fiat,Doblo,2022,Furqon,Ağ,1.4 L/95 a.g./Benzin,0 km,Mexaniki,Ön,Bəli,2,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,,
1,Bakı,270 000 USD,Mercedes-Maybach,GLS 600 4MATIC,2022,Offroader / SUV,Qara,4.0 L/558 a.g./Benzin,3 500 km,Avtomat,Tam,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,0,
2,Bakı,19 800 AZN,Nissan,Sunny,2014,Sedan,Gümüşü,1.6 L/109 a.g./Benzin,118 000 km,Avtomat,Ön,Xeyr,,"Vuruğu yoxdur, rənglənməyib",,,
3,Bakı,57 600 AZN,Toyota,RAV4,2022,Offroader / SUV,Yaş Asfalt,2.0 L/173 a.g./Benzin,0 km,Avtomat,Ön,Bəli,,"Vuruğu yoxdur, rənglənməyib",,,
4,Bakı,69 500 USD,BMW,M3,2014,Sedan,Göy,3.0 L/450 a.g./Benzin,42 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu yoxdur, rənglənməyib",Avropa,1,
5,Bakı,38 500 USD,Mercedes,E 300 e,2021,Sedan,Qara,2.0 L/320 a.g./Plug-in Hibrid,30 000 km,Avtomat,Arxa,Xeyr,,"Vuruğu var, rənglənməyib",Rəsmi diler,1,Bəli
6,Bakı,27 500 AZN,BMW,525,2007,Sedan,Qara,2.5 L/218 a.g./Benzin,140 000 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Yaponiya,,
7,Bakı,16 000 USD,Hyundai,Sonata,2015,Sedan,Qırmızı,2.0 L/156 a.g./Hibrid,103 000 km,Avtomat,Ön,Xeyr,5,"Vuruğu yoxdur, rənglənməyib",,,
8,Bakı,35 700 AZN,Kia,Sorento,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,105 000 km,Avtomat,Ön,Xeyr,7,"Vuruğu yoxdur, rənglənməyib",Koreya,,
9,Bakı,80 000 USD,Ford,Cougar,1986,Kupe,Qırmızı,5.0 L/200 a.g./Benzin,3 900 km,Avtomat,Arxa,Xeyr,4,"Vuruğu yoxdur, rənglənməyib",Amerika,1,
